token,score
sprinkling,9.838
stony,9.838
tossed,9.838
undefiled,9.838
unmarried,9.838
vehemently,9.838
firstborn,9.819
pieces,9.819
choose,9.813
beat,9.806
mark,9.804
spent,9.804
words,9.747
afflicted,9.746
number,9.714
mixed,9.691
blue,9.679
brook,9.679
trespass,9.679
spread,9.650
righteous,9.610
ben,9.572
chronicles,9.572
countries,9.572
doom,9.572
jehoiakim,9.572
wooden,9.572
slaughter,9.546
obtain,9.538
hears,9.527
seven,9.516
rejected,9.507
forget,9.486
considered,9.484
mankind,9.484
right,9.444
kingdoms,9.418
floor,9.400
horn,9.400
meat,9.400
slay,9.400
build,9.292
dew,9.290
fatherless,9.290
gath,9.290
gilgal,9.290
blasphemy,9.277
humility,9.277
pleasing,9.277
winter,9.277
swore,9.230
stumbling,9.193
ungodly,9.193
rested,9.145
advice,9.121
goat,9.121
person,9.093
lion,9.030
afflict,9.008
amaziah,9.008
choice,9.008
consecrate,9.008
dismayed,9.008
flowing,9.008
hamath,9.008
homes,9.008
protect,9.008
ramah,9.008
sheba,9.008
warning,9.008
sky,8.967
leave,8.931
sown,8.900
captives,8.873
fourth,8.873
praying,8.870
asher,8.843
attacked,8.843
noise,8.843
threshing,8.843
sins,8.821
awesome,8.726
guided,8.726
magicians,8.726
prey,8.726
respite,8.726
sockets,8.726
forgiveness,8.726
religion,8.709
arrived,8.629
deserted,8.629
footstool,8.629
mute,8.629
sleeping,8.629
breath,8.602
forest,8.565
happy,8.565
spear,8.565
armies,8.486
balaam,8.486
despised,8.486
cup,8.476
fled,8.464
accounted,8.455
highly,8.455
malice,8.455
perishing,8.455
praising,8.455
sincerity,8.455
sour,8.455
ai,8.444
beersheba,8.444
disbelieve,8.444
firm,8.444
gibeon,8.444
herds,8.444
heshbon,8.444
nun,8.444
shemaiah,8.444
shiloh,8.444
vanity,8.444
generation,8.420
way,8.370
crossed,8.331
warn,8.331
samaria,8.313
oxen,8.294
balak,8.287
divide,8.287
hardship,8.287
issachar,8.287
story,8.287
confident,8.273
learned,8.273
leaven,8.273
released,8.273
stranger,8.225
refuse,8.222
flow,8.195
bondage,8.181
inhabited,8.163
line,8.163
plundered,8.163
poles,8.163
prostrate,8.163
result,8.163
shekel,8.163
fish,8.120
counted,8.085
fig,8.085
perceived,8.084
asa,8.060
bulls,8.060
lame,8.017
manifest,8.017
various,8.017
ahaz,8.010
cave,8.010
nathan,8.010
rebelled,8.010
scatter,8.010
denied,7.999
redemption,7.999
tradition,7.999
fully,7.983
captain,7.976
clear,7.976
forsaken,7.976
honey,7.959
isaiah,7.940
night,7.935
ahaziah,7.881
bars,7.881
forces,7.881
gedaliah,7.881
inhabitant,7.881
molded,7.881
overlaid,7.881
palaces,7.881
retribution,7.881
sihon,7.881
tribute,7.881
valleys,7.881
worshipped,7.881
doing,7.830
whomever,7.809
rise,7.764
covering,7.732
instruction,7.732
rehoboam,7.732
accept,7.728
cyprus,7.725
privately,7.725
abstain,7.681
blinded,7.681
crowns,7.681
dear,7.681
housetop,7.681
knee,7.681
perfected,7.681
repented,7.681
shore,7.681
win,7.681
withdrew,7.681
exalted,7.641
passover,7.602
wrote,7.602
acacia,7.599
beings,7.599
chooses,7.599
gatekeepers,7.599
leah,7.599
philistine,7.599
single,7.599
truthful,7.599
wail,7.599
consider,7.580
josiah,7.520
deep,7.481
rejoiced,7.475
knew,7.456
animal,7.455
greatness,7.455
testimonies,7.455
triumph,7.455
yield,7.455
feed,7.449
iron,7.449
gone,7.409
aware,7.362
curse,7.362
head,7.355
earthquake,7.353
kiss,7.353
previously,7.353
false,7.325
deserves,7.317
eden,7.317
experience,7.317
feel,7.317
hananiah,7.317
ignore,7.317
jezreel,7.317
kirjath,7.317
lovingkindness,7.317
rebekah,7.317
relations,7.317
ride,7.317
thread,7.317
vows,7.317
buried,7.257
multiply,7.252
staff,7.252
thousands,7.252
servant,7.224
lamb,7.206
arm,7.179
fifth,7.179
removed,7.179
create,7.178
guilt,7.178
nobles,7.178
samson,7.178
change,7.175
palm,7.175
prince,7.175
killed,7.173
olives,7.171
plotted,7.171
compassion,7.163
ceased,7.152
invited,7.152
murder,7.152
gather,7.128
abba,7.113
accords,7.113
accurately,7.113
acknowledgment,7.113
aeneas,7.113
